# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.8628,0.0846,0.802,0.752
-1.9317,0.0836,0.829,0.779
-2.0002,0.0876,0.847,0.797
-2.0681,0.0983,0.8335,0.7835
-2.1355,0.1136,0.82,0.77
-2.2028,0.129,0.8065,0.7565
-2.2703,0.14,0.8002,0.757
-2.3383,0.1437,0.8006,0.7705
-2.4069,0.1425,0.8011,0.784
-2.4762,0.1402,0.8015,0.7975
-2.5461,0.1408,0.8122,0.822
-2.6161,0.147,0.8253,0.849
-2.6845,0.16,0.8384,0.876
-2.7495,0.181,0.856,0.9045
-2.8094,0.2111,0.91,0.945
-2.8648,0.2492,0.964,0.9855
-2.9174,0.2933,1.018,1.026
-2.9688,0.3412,1.0759,1.072
-3.0208,0.3908,1.1395,1.126
-3.0742,0.4405,1.2031,1.18
-3.1255,0.4913,1.2667,1.234
-3.1706,0.5444,1.2883,1.25
-3.2053,0.6012,1.2922,1.25
-3.2254,0.6632,1.2961,1.25
-3.2308,0.7302,1.3,1.25
-3.2274,0.8002,1.2865,1.25
-3.2213,0.8711,1.273,1.25
-3.2182,0.9408,1.2595,1.25
-3.2187,1.0093,1.25,1.25
-3.22,1.0776,1.25,1.25
-3.2198,1.1469,1.25,1.25
-3.2157,1.2173,1.25,1.25
-3.2053,1.2868,1.21,1.21
-3.1865,1.3528,1.1425,1.1425
-3.157,1.4128,1.075,1.075
-3.1169,1.4662,1.0075,1.0075
-3.0688,1.5148,0.952,0.964
-3.0157,1.5606,0.898,0.9235
-2.9606,1.6057,0.844,0.883
-2.9063,1.6521,0.7964,0.8425
-2.8542,1.7003,0.777,0.802
-2.8026,1.7475,0.7575,0.7615
-2.7497,1.791,0.7381,0.721
-2.6935,1.8279,0.7244,0.6935
-2.6322,1.8554,0.7168,0.68
-2.5661,1.8735,0.7092,0.6665
-2.4971,1.8842,0.7017,0.653
-2.427,1.8897,0.7,0.65
-2.3574,1.8918,0.7,0.65
-2.2886,1.8918,0.7,0.65
-2.2201,1.8908,0.699,0.65
-2.1516,1.8898,0.6855,0.65
-2.0829,1.8895,0.672,0.65
-2.0141,1.8896,0.6585,0.65
-1.9451,1.8899,0.65,0.65
-1.8762,1.8901,0.65,0.65
-1.8074,1.8901,0.65,0.65
-1.7386,1.8901,0.65,0.65
-1.6698,1.89,0.65,0.65
-1.601,1.89,0.65,0.65
-1.5322,1.89,0.65,0.65
-1.4634,1.89,0.65,0.65
-1.3945,1.89,0.65,0.65
-1.3257,1.89,0.65,0.65
-1.2569,1.89,0.65,0.65
-1.1881,1.89,0.6535,0.65
-1.1192,1.89,0.667,0.65
-1.0504,1.8899,0.6805,0.65
-0.9816,1.8899,0.694,0.65
-0.9128,1.89,0.7,0.65
-0.8439,1.8902,0.7,0.65
-0.7751,1.8904,0.7,0.65
-0.7063,1.8902,0.7,0.65
-0.6375,1.8897,0.7,0.65
-0.5688,1.8889,0.7,0.65
-0.5,1.8886,0.7,0.65
-0.4311,1.8897,0.7,0.65
-0.362,1.8924,0.7,0.65
-0.2929,1.8949,0.7,0.65
-0.2241,1.8944,0.7,0.65
-0.1559,1.8881,0.7,0.65
-0.0884,1.8751,0.7,0.65
-0.0211,1.8594,0.7,0.65
0.0463,1.8452,0.7,0.65
0.1143,1.8367,0.7,0.65
0.1829,1.8347,0.7,0.65
0.2519,1.8366,0.7,0.65
0.321,1.8397,0.7,0.65
0.39,1.8414,0.7,0.65
0.4589,1.8416,0.7,0.65
0.5276,1.8409,0.7,0.65
0.5963,1.8397,0.7045,0.65
0.6651,1.8387,0.718,0.65
0.7338,1.8383,0.7315,0.65
0.8027,1.8392,0.745,0.65
0.8718,1.8417,0.7585,0.6755
0.9409,1.8445,0.772,0.716
1.0098,1.8449,0.7855,0.7565
1.0781,1.8402,0.799,0.797
1.1458,1.8288,0.7875,0.775
1.2131,1.8135,0.774,0.748
1.2805,1.7984,0.7605,0.721
1.3482,1.7878,0.753,0.7
1.4167,1.7837,0.7665,0.7
1.4856,1.7846,0.78,0.7
1.5547,1.7883,0.7935,0.7
1.624,1.7929,0.793,0.707
1.6932,1.7963,0.7795,0.7205
1.762,1.796,0.766,0.734
1.8302,1.79,0.7525,0.7475
1.8977,1.777,0.761,0.739
1.965,1.7609,0.7745,0.7255
2.0324,1.7464,0.788,0.712
2.1004,1.7386,0.7985,0.7015
2.1692,1.7386,0.785,0.715
2.2383,1.7415,0.7715,0.7285
2.3072,1.7416,0.758,0.742
2.3752,1.7338,0.75,0.75
2.4426,1.7194,0.75,0.75
2.5098,1.7032,0.75,0.75
2.5774,1.6904,0.75,0.75
2.6457,1.6848,0.75,0.75
2.7145,1.685,0.75,0.75
